glue_weight,item_id,x1_dist,x2_dist,y1_dist,y2_dist,station_id,time
7.9143324,0,1.9270006,1.9102731,1.9866434,2.004914,-1,1
7.8697605,3,2.0062623,2.0358999,1.9621842,1.9518342,-1,1
7.9473624,6,2.0587704,2.0227933,2.0417333,1.9992762,-1,2
7.919673,7,1.981114,1.9527198,1.9063275,2.0128672,-1,2
7.99371,10,2.0916123,1.9669636,2.0335236,1.9570833,-1,3
7.8139777,11,1.9877533,2.0246713,2.0296686,2.0716076,-1,3
7.9143324,0,1.9270006,1.9102731,1.9866434,2.004914,0,3
7.9449396,14,2.0223038,1.9363326,1.9934523,2.0203185,-1,4
7.8101544,15,1.9754924,1.903731,2.0280664,2.0782762,-1,4
7.9143324,0,1.9270006,1.9102731,1.9866434,2.004914,1,4
7.8697605,3,2.0062623,2.0358999,1.9621842,1.9518342,0,4
8.0972424,18,1.9346179,1.9008868,1.9219877,2.0873535,-1,5
7.9216642,19,2.0638523,2.0080187,1.9154874,1.9266979,-1,5
7.9143324,0,1.9270006,1.9102731,1.9866434,2.004914,2,5
7.8697605,3,2.0062623,2.0358999,1.9621842,1.9518342,1,5
7.9473624,6,2.0587704,2.0227933,2.0417333,1.9992762,0,5
7.8727164,22,1.950781,2.0824971,1.9704924,1.9594886,-1,6
7.542738,23,2.0553527,1.9007783,2.0939391,1.9662063,-1,6
7.8697605,3,2.0062623,2.0358999,1.9621842,1.9518342,2,6
7.9473624,6,2.0587704,2.0227933,2.0417333,1.9992762,1,6
7.919673,7,1.981114,1.9527198,1.9063275,2.0128672,0,6
7.8369336,26,1.9612985,2.0306983,1.9694134,2.082916,-1,7
7.8006954,27,2.0994422,2.0375493,1.9047165,2.0333564,-1,7
7.9473624,6,2.0587704,2.0227933,2.0417333,1.9992762,2,7
7.919673,7,1.981114,1.9527198,1.9063275,2.0128672,1,7
7.99371,10,2.0916123,1.9669636,2.0335236,1.9570833,0,7
7.8984098,30,2.0905638,2.0676832,1.950124,1.9480027,-1,8
7.919673,7,1.981114,1.9527198,1.9063275,2.0128672,2,8
7.99371,10,2.0916123,1.9669636,2.0335236,1.9570833,1,8
7.8139777,11,1.9877533,2.0246713,2.0296686,2.0716076,0,8
8.3233271,31,1.9603367,1.9374222,1.9781708,2.0980694,-1,8
8.1284552,34,2.0690391,2.0613365,1.9652687,1.9873469,-1,9
7.99371,10,2.0916123,1.9669636,2.0335236,1.9570833,2,9
7.8139777,11,1.9877533,2.0246713,2.0296686,2.0716076,1,9
7.9449396,14,2.0223038,1.9363326,1.9934523,2.0203185,0,9
7.9752278,35,1.9082408,1.9663925,2.0267286,2.0944219,-1,9
8.2148485,38,2.0095623,2.0958469,1.9908233,2.0088689,-1,10
7.8139777,11,1.9877533,2.0246713,2.0296686,2.0716076,2,10
7.9449396,14,2.0223038,1.9363326,1.9934523,2.0203185,1,10
7.8101544,15,1.9754924,1.903731,2.0280664,2.0782762,0,10
8.0490532,39,2.0615077,1.9194899,1.9777948,2.0163138,-1,10
7.8649111,42,2.018096,2.0825877,1.9374347,2.0319617,-1,11
