a_voltage_V,b_max_voltage_V,c_current_A,d_resistance_mOhm,e_welding_energy_Ws,f_force_one_N,g_force_two_N,h_movement_one_um,i_movement_two_um,j_welding_time_ms,k_wear,machine_nr,time
1.6167749,2.4144411,4025.8567,454.69827,3312.0593,180.1252,196.29538,427.98785,406.7901,845.63812,0,0,5
1.6971315,2.190212,3685.7441,466.67657,3311.7861,178.28583,171.69234,406.42368,429.17075,822.98926,0,0,6
1.1771402,2.0509574,3692.291,478.14014,3312.3235,187.40506,188.55977,414.78625,433.22845,731.54858,0,1,7
1.2869351,2.0393355,3814.5581,451.31702,3311.6191,187.80342,184.78133,430.62619,430.06445,713.45996,0,1,8
1.3687104,2.2409832,3301.5664,426.89801,3311.9131,177.12415,180.76768,422.66959,425.42419,889.7226,0,1,9
1.8203969,2.2252688,3729.897,459.99576,3311.6968,181.3671,181.69485,422.83035,432.03613,771.12024,0,0,10
1.3091872,2.2354267,3552.959,427.5965,3312.1165,182.63838,195.1669,415.50726,406.83493,812.74341,0,1,11
1.6813409,2.0838258,3671.7749,454.80264,3312.1582,183.43869,169.02,429.66595,432.5809,742.74384,0,1,12
1.5180448,2.2340982,3410.1152,506.57617,3312.0469,186.17493,176.20706,429.2804,447.34079,831.93848,0,0,13
1.1778567,1.9711654,3872.6187,396.77728,3311.8904,175.85292,184.49077,462.12744,414.2374,790.75116,0,1,14
2.0934253,2.2547076,3899.9458,485.03564,3312.1733,182.02826,182.22369,431.03314,409.77585,807.05402,0,1,15
1.175963,2.1143203,3459.5498,424.30704,3311.9766,180.75172,204.1814,447.43909,425.22211,813.97321,0,1,16
1.1698887,2.3872156,3410.7896,421.53461,3311.937,198.31897,194.24493,431.08676,425.7381,772.61713,0,0,17
1.0633125,2.5428596,3826.9941,426.60007,3311.4724,180.81975,195.5529,426.23047,422.7912,720.73773,0,1,18
1.1367993,2.1794348,3648.3892,459.77078,3312.1377,173.60558,179.56204,423.34219,416.00827,854.56036,0,0,19
1.3733401,1.9244632,3890.8259,479.07224,3311.9954,184.49867,172.92114,435.46765,409.18503,804.78845,0,1,20
1.4039296,2.4386258,3937.3208,487.38745,3311.6633,178.45187,198.49034,428.85065,410.41443,823.15771,0,0,21
1.3972076,2.2197139,3727.8425,432.75708,3312.1558,173.04333,188.22368,433.14633,419.63681,780.3363,0,0,22
1.2209364,2.2551074,3821.8284,406.57886,3312.1501,174.0249,181.34055,438.66888,425.83365,838.41669,0,1,23
1.09874,2.200263,3525.6816,519.1524,3312.0447,191.48351,186.87921,441.52429,423.60477,796.17072,0,1,24
1.2390416,2.2970426,3561.6201,460.26028,3311.9211,179.59764,188.20113,416.02856,414.52939,776.17181,0,1,25
1.6384819,2.3076162,3754.7681,415.21927,3312.1045,176.71115,187.13283,442.93964,412.41507,832.50085,0,0,26
1.4038019,2.26248,3613.616,485.75586,3312.1003,184.59947,179.22525,427.35281,424.34326,771.85065,0,0,27
1.4199159,2.1573126,3690.9773,471.91553,3311.8262,181.63849,186.85437,420.11325,420.99866,941.04474,0,1,28
1.5941998,2.2087293,3922.9133,412.52475,3311.9631,183.26509,187.69269,419.17612,407.02972,768.11676,0,1,29
1.7113866,2.1615064,3634.7454,431.00171,3312.2771,179.17697,189.10732,421.88901,441.25995,888.44556,0,0,30
1.6139278,2.3304737,3688.9917,446.2616,3311.8169,186.27754,190.45518,415.99911,439.93292,848.28094,0,0,31
1.2603288,2.4529617,3705.6782,494.62073,3312.1875,182.57018,196.50352,419.367,424.71216,712.16577,0,1,32
1.7226182,2.1912351,3748.5278,413.91299,3311.8916,188.06992,177.64938,426.49237,419.06192,777.31287,0,1,33
1.3719387,2.1534309,3640.1606,448.69345,3312.4407,176.95279,180.38046,413.18539,418.37149,740.87091,0,1,34
1.415616,2.0375464,3980.147,439.84439,3312.2383,179.95956,185.67719,418.96277,419.03397,760.65393,0,0,35
1.144412,2.0305889,3697.4214,488.90366,3312.2402,188.77917,185.71707,435.86908,421.85565,846.58246,0,1,36
1.489939,2.2004745,3524.2849,491.30634,3312.0164,185.09427,184.8481,404.04956,436.47684,806.39471,0,1,37
1.5085409,2.2423282,3503.2341,439.02792,3311.8032,183.92369,178.47844,429.3212,428.21402,706.40503,0,1,38
1.2320859,2.5019603,3721.6641,464.00504,3311.1138,186.89429,197.46405,442.16299,423.28461,836.01813,0,0,39
1.0836151,2.151166,3827.1309,466.06226,3312.1284,176.20273,186.86127,426.32953,427.88254,876.79724,0,1,40
1.1667572,1.9273955,3735.324,428.06052,3312.3242,190.25642,194.45181,424.20819,418.62497,820.13239,0,0,41
1.7058773,2.0935521,3592.9392,518.10339,3312.2397,188.00859,203.4424,430.27725,426.9722,889.8548,0,1,42
1.2459472,1.9518908,3332.9968,432.66797,3311.6863,175.41182,198.39555,424.6413,415.37222,777.79907,0,0,43
1.4956036,2.2648308,3597.3506,447.47031,3312.1167,187.08565,195.0052,433.95081,421.84897,752.53009,0,1,44
1.562259,2.5422783,3703.5012,389.25552,3312.0088,186.26421,184.62048,425.95679,422.06674,828.78729,0,0,45
1.3269342,2.1675882,3498.4226,511.40659,3311.7627,186.66971,180.14021,424.28455,404.37244,921.85681,0,0,46
1.8471558,2.3504958,3625.416,488.94699,3311.9067,181.9256,183.56979,411.37012,423.22354,854.0238,0,0,47
0.97135246,2.0542819,3639.1313,494.20975,3312.1323,182.06433,188.67047,425.52945,421.26859,778.84967,0,0,48
1.5081264,2.1295724,3806.5522,493.54581,3312.2163,189.50922,184.3472,415.74829,440.54443,781.12805,0,0,49
1.3888841,2.2958941,3798.4971,412.6337,3311.5911,187.23949,184.43152,431.59332,413.97266,764.91852,0,1,50
1.3650104,2.1815693,3636.2749,362.7131,3311.968,192.93379,197.50034,446.10406,430.69452,911.34747,0,0,51
1.3980005,2.2308114,3664.9956,440.80994,3311.6855,184.75174,187.61673,418.8078,430.90417,767.91675,0,0,52
1.0293911,2.066982,3642.1519,420.52402,3311.6272,180.36418,180.30849,420.14896,424.75922,815.86151,0,0,53
1.4318841,2.169826,3749.2261,440.05289,3312.0601,182.89124,171.80144,423.2901,414.16061,860.88391,0,1,54
1.5703969,2.2315342,3694.4041,472.77109,3311.98,181.24194,190.32336,422.60483,416.10919,895.35815,0,0,55
1.512514,1.9315509,3538.6074,487.2627,3311.7756,186.62485,196.65822,412.06448,417.17026,764.95776,0,0,56
1.432272,2.1000476,3624.2104,398.89188,3311.928,179.92796,189.40257,423.98215,410.37991,802.56238,0,0,57
1.4545658,2.0012739,3785.6853,474.41425,3311.9229,169.41058,186.19579,432.52399,413.56937,874.49127,0,1,58
1.4086537,2.0735583,3536.5674,461.81137,3311.9285,185.84563,170.66063,430.44522,418.18668,779.99188,0,0,59
1.2935971,2.1831059,3743.4761,446.65659,3311.8438,186.17665,177.57988,412.52402,427.53232,752.87219,0,0,60
1.5880989,2.1632867,3727.4504,498.89209,3311.9858,178.57469,186.85832,421.12872,421.14719,773.40125,0,1,61
